이름,플랫폼,작가,그림,장르,상태,요일,조회수,별점,총화수,무료,무료주기,키워드,줄거리,첫화링크
우리 같이 살아요,kakaopage,록경,DXD Animation,로판,연재중,화,14.3만,9.8,49,3,,"로맨스판타지,동거물,빙의물,여주판타지,다정남,순정남,순진남,엉뚱발랄녀,악녀,로맨틱코미디,힐링물,달달물","눈을 떠보니 내 몸이 아니다여기는 어디?  나는 누구?게다가 옆에서 자고 있는 이 미친 외모를 가진 남자는 누구신지?""마님의 존함은 '델리스 레 바니스터'십니다""응? 이럴 수가 그건 내가 최근까지 푹 빠져 읽었던 로판 소설 속에 나오는 악녀 이름이잖아? 그렇다면 아까 그 남자는 내가 가장 아끼고 좋아하는 최애 '로안 폰 바니스터'라고?로안은 전장의 푸른 기사로 불리지만 사생아로 태어나고 자라며 상처란 상처는 모조리 독차지 했던 서브 남주이다여주인공에게 마저 철저하게 어장관리 당하는 불쌍한 남자그런 아픔 많은 우리 로안, 잘 보듬어 줘야지 했는데왜 하필 그를 가장 지독하게 괴롭히다 결국 이혼하는 악녀로 빙의를 해버린 거냐고안돼, 내 최애와 이렇게 지낼 수 없어로안은 내가 행복하게 해줄테니 제발 우리 사랑하게 해주세요",https://page.kakao.com/content/61880519
어느 왕녀를 위하여,kakaopage,나지,지선,로판,연재중,화,"4,809",10.0,56,5,,,"[매주 화요일 업데이트]  '대륙 위에서 가장 강대한 나라, 왕국 테롯사그 안을 채우는 일반 사람들과 차별 받는 존재, 혼가장 강한 혼으로 태어나 총사령관으로서 책임을 다하던 레사릭은마지막 전투를 승리로 이끈 뒤 왕에게 죽음을 명령 받는다오직 죽기 위해 살아온 그는 기쁘게 받아들이지만왕족 중 가장 약한, 네 번째 왕녀의 가냘픈 손에 구해지는데…… “왜 저를 살리셨습니까?”“그냥 그렇게 죽는 건 억울할 것 같아서요” 타락한 왕족들과는 다른 이상한 왕녀, 델모레 키스레사릭은 연구소 소장인 그녀가아주 비밀스럽고도 위험한 일을 꾸미고 있다는 걸 눈치챈다그리고 봄의 새싹 같은 델모레의 녹빛 눈을 마주할수록레사릭의 마음속에서 이성과는 가장 먼 감정이 움트기 시작하는데 “저를 쓰십시오 저는 제법 쓸모 있는 자입니다” 먼 과거부터 이어진 왕녀의 염원, 그리고 오로지 그녀만을 위해 뛰어든 기사 *원작 : 사소금 [웹소설]어느 왕녀를 위하여",https://page.kakao.com/content/62752017
조연도 나름 힘들다,kakaopage,정,정,드라마,완결,완결,29.3만,9.8,70,3,1일,"서양풍,가상시대물,성장물,영혼체인지/빙의,차원이동,차원이동물,왕족/귀족,두근거리는,귀여운,사랑스러운","춘향이의 향단이 같은 삶을살다 교통사고를 당한 미향,'이번 생은 그렇게 살지 않겠어' 다짐한다하지만― 왕비의 운명을 지닌체 빙의한 친구, 시연을맞닥뜨리고 한계를 느낀 데미안은새로운 다짐을 한다'로맨스가 안된다면 다른 쪽을 노리겠어난, 여성 최초 재무대신이 되겠어'",https://page.kakao.com/content/62611342
시한부 여주의 동생이 되었다,kakaopage,다온스튜디오,권태한,로판,연재중,화,269.8만,10.0,52,3,1일,"로맨스판타지,빙의물,회귀물,시한부,다정남,왕족/귀족,직진남,엉뚱발랄녀,능글녀,애교녀,삼각관계,달달물,로맨틱코미디,치유물","어느 날 갑자기, 내 최애였던 시한부 여주의 쌍둥이 동생이 되었다이왕에 빙의된 거, 최애를 대신해이 소설의 악역과 결혼했는데…""전하는 그런 화려한 망토가 정말 잘 어울리시네요""멈칫""어디서 이런 센스 있는 망토를 구하셨는지 몰라""크흠―내 말 한마디 한마디에 얼굴을 붉히며 삐거덕대는 이 남자…살인귀라던데 왜 이렇게 귀여워?얼굴은 또 왜 이렇게 잘생겼어?처음에는 내 최애를 위한 계획이었지만 이거 점점… 진심으로 좋아지고 있는 거 같은데?",https://page.kakao.com/content/62225007
재능만렙 플레이어,kakaopage,효막,HT 스튜디오,판타지,연재중,화,424.1만,9.7,41,3,3시간,"천재,회귀,성좌,시스템,방송,아포칼립스,만능,BJ","가난과 병에 저버린 어머니와 누나재능도, 돈도, 빽도 없는 공시생인 내가앞으로 있을 10년 간의 기억을 간직한 채로하루 아침에 10년 전으로 돌아왔다그리고…지금 이 버스 안의 사람들은모두 몇분도 안되어 죽고 만다'…내가 여기서 살아남을 수 있을까?'",https://page.kakao.com/content/63451062
토르,kakaopage,마블 코믹스,마블 코믹스,액션,시즌 휴재,화,54.2만,9.9,215,7,,"차원이동,정통,선계,복수,전쟁,생존,영웅/신화,마계,성장,신,왕족/귀족,이종족,초능력","신들이 잇달아 살해당하며 점점 황폐해져 가는 세상… 토르는 먼 미래의 토르 왕, 과거의 혈기 왕성한 젊은 토르를 만나 팀을 이룬다 세 명의 신은 과연 신 도살자 '고르'의 무자비한 살육 행각을 막을 수 있을까?그리고 오딘슨이 자격을 잃었을 때, 묠니르를 들고 토르의 책임을 이어받는 의문의 여성 토르 데뷔 스토리까지… 작가 제이슨 아론이 성공적으로 재해석한 천둥신의 명작 대서사시를 웹툰으로 만난다",https://page.kakao.com/content/59424475
요신기,kakaopage,,아이리더,판타지,연재중,월,"7,897.2만",9.6,532,10,12시간,"복수,생존,먼치킨,성장,무공",최강 음양사인 비류는 신비한 힘을 갖고 있는 <시공요괴의서>로 인해 환생하게 된다 전생에서의 적과 그들에 대한 복수의 마음으로 다시 처음부터 수련을 해나가는 비류 과연 그는 다시 최강의 자리에 오를 수 있을까?,https://page.kakao.com/content/51396640
투파창궁,kakaopage,천잠토두,"임상, 투파창공 만화제작팀",무협,연재중,월,"4,060.9만",9.8,568,8,2일,"성장,먼치킨","중국 최고 화제의 작품 대륙의 전설카카오페이지 독점 연재화려한 마법도 눈부신 과학기술도 없다 오로지 강한 자만이 살아남는 이곳은 투기대륙 세기의 천재 소년이라 불리던, 소운 하지만 3년 전, 알 수 없는 원인으로 모든 투기를 잃어버리고 사람들의 무시와 천대를 받게 되는데 급기야 약혼녀마저 그에게 파혼을 고한다 그런 소운 앞에 약진이 나타나, 그를 최고의 연단술사로 만들어 주겠다 약속하는데 소운은 과연 지난날의 치욕을 씻고 대륙 최고의 자리에 오를 수 있을까?해당 작품은 웨원그룹 치뎬중문망 작가 천잠토두의 원작 소설에 근거하여 웹툰화하였습니다",https://page.kakao.com/content/53114649
자격 미달 황후라 죄송합니다,kakaopage,,스푼코믹스,로판,시즌 휴재,월,208.9만,9.7,59,3,1일,"로맨스판타지,회귀물,소유욕/독점욕,왕족/귀족,카리스마남,타임슬립,능력남,능력녀,다정녀,계약관계,정략결혼,권선징악,드라마","로제 에투와르는 불행한 결혼 생활 끝에, 남편인 황제의 손에 비참하게 죽었다그런데 어쩐 일인지 그녀는 청혼받기 전 날로 회귀하는데이대로 넋 놓고 있다가 또 그 새끼랑 결혼하게 생겼다“제가 뮤리엘 후작 영애 대신 헬라반트로 가겠어요”미친놈을 피해 달아난 북부 야만의 땅그곳에는 미친놈 대신 짐승 같은 놈이 기다리고 있었다막심 랑케르트북부 야만인들의 땅 헬라반트의 왕이자 카시악스를 불안으로 미쳐버리게 만들 수 있는 유일한 남자“너 같은 여자는 처음 보는군”“나도 당신 같은 남자 처음 봐요”로제는 결심했다이 짐승을 잘 길들여 황제를 바꿔버리겠다고",https://page.kakao.com/content/62385041
일하기 싫어!,kakaopage,용두식,몽차,로판,연재중,월,281.8만,9.9,51,3,3시간,"로맨스판타지,환생물,여주판타지,먼치킨,운명,인외존재,천재,능력녀,사이다녀,털털녀,권선징악,재회물,트라우마,사제지간","약초학의 천재 중의 천재로 태어났다신의 요구를 들어주면 나도 신으로 만들어준대서,nn번이나 환생을 거듭했는데완벽한 신의 음료를 만들 때까지 그만둘 수 없다니이건 사기 계약이야결국 나는 이번 생에, 파업을 선언했다나 못 해 아니, 일 안 해분명 그랬는데“나는 너에게 기대를 걸고 있단다”“뉴, 뉴냐”삭막한 가족 관계가 좋아지질 않나“취익 고, 맙다”<…도와줘서 고마워>여기저기서 감사 인사를 받지 않나거기다“불초한 제자가 오랜만에 스승님을 뵈어요”내 첫 번째 제자이자 마지막 제자 놈까지 나타났다저놈 왜 안 죽었지?<일하기 싫어>",https://page.kakao.com/content/62692635
녹음의 관,kakaopage,"삵, 김은혜",비누,로판,연재중,월,"6,733.4만",10.0,105,4,3시간,"로맨스판타지,빙의물,까칠남,상처남,연하남,능력녀,자상녀,외유내강,사이다녀","남자주인공에게 트라우마를 남긴 계모의 딸에 빙의했다이 모든 것은 내가 열 다섯 살 때 쓴 소설 속 안괜찮아, 어떻게든 널 행복하게 만들어줄게내가 이 소설의 원작자라고""저는 단 한번도 누님을 가족이라 생각한 적이 없습니다""남주 행복 프로젝트, 열심히 실천하고 있다고 생각했는데왜 나를 가족으로 인정해주지 않는거니?남주가 공작이 되기 전까지 나, 무사히 살아남을 수 있을까?",https://page.kakao.com/content/55889891
어느 날 아빠가 나타났다,kakaopage,"벼노, 민초아",산봄,로판,연재중,월,382만,10.0,66,3,1일,"로맨스판타지,가족물,재회물,첫사랑,집착남,왕족/귀족,직진남,능력녀,까칠녀,존댓말남,배틀연애,걸크러쉬","아홉 살 클레르는 자신이 누구이며,무엇을 할 수 있는지 궁금해하며 살아가던 중엄마를 찾아온 아빠를 만나게 된다아빠는 신의 조각이자 영광스러운 존재,반신이라 불리는 '아스타리올' 이였으며,자신 역시 아스타리올이었음을 알게 되고그렇게 클레르는 부모님의 과거를 조금씩 알아가면서자신이 있어야 할 자리를 찾아가기 시작한다",https://page.kakao.com/content/62794761
"이번 생, 끝까지 살아남겠습니다",kakaopage,아름,민은경,로판,연재중,월,159.7만,9.9,39,3,1일,"로맨스판타지,남장여자물,환생물,운명,남장여자,대형견남,직진남,능력녀,걸크러쉬,다정녀,신분차이,로맨틱코미디,힐링물,달달물,쌍방삽질","수많은 전생에서 요절했던 이유가 바로 ‘결혼’ 때문이란다이번 생은 일부러 못생기게 태어나게 한 거죠, 신님?그렇게 돌아가신 아버지 대신 가장이 되어 사업에 뛰어든 아데뜨사업은 승승장구, 이번 투자만 성공하면 되는데…“남자가 아닌 투자가의 도움은 필요 없다”고?여자라서 거절당했다면, ‘남장’을 해서라도 투자하고 만다아데뜨는 외조부 ‘테루사프 남작’의 이름으로 ‘마테일로 공작’에게 찾아가지만,마테일로 공작은 어쩐지 투자 얘기에는 관심이 없어 보인다“괜찮다면 남작과 한 번 더 만나고 싶은데”…그런데 이 남자, 대체 무슨 속셈인 거지?왜 자꾸 다가오는 거야? 제발 그만둬*****웹툰 <이번 생, 끝까지 살아남겠습니다>는 동명의 원작 웹소설을 각색·재구성한 것으로원작의 내용 및 전개와는 다소 차이가 있을 수 있습니다",https://page.kakao.com/content/63327017
올 힘 마법사,kakaopage,서씨,HT 스튜디오,판타지,연재중,월,239.6만,9.5,30,3,3시간,"정통,시스템,노력,성장,천재,아티팩트,마법사,격투가,왕족/귀족,이종족,이능력,학생","아카데미에는 무시무시한 전설이 있다'너 그렇게 연습 안하다가 '루인 아르델'처럼 된다'아카데미의 이단아, 루인 아르델'마나 방출 불능 장애'라는 마법사에게 있어 최악의 저주를 가진 채 태어나버렸다하지만―《당신은 세계파괴자 드라카의 화신입니다》모두의 멸시와 조롱 속에서 6년,그 끝에서야 난 새로운 기회를 얻었다",https://page.kakao.com/content/63647635
악역의 딸은 가출을 계획합니다,kakaopage,스피노프,째이째이,로판,연재중,월,310.2만,9.9,28,3,3시간,"로맨스판타지,육아물,착각물,성장물,회귀물,왕족/귀족,집착남,다정남,능력녀,악녀,로맨틱코미디,힐링물","악역의 딸이라는 이유로 사형당했다‘이놈들아, 난 아무것도 안 했다고’억울해하며 눈을 뜨니 14년 전으로 돌아왔다아직 악역 가문의 보살핌이 필요한 나는 용돈을 모아 탈출하기로 계획했는데…“죽이면 끝나는 거 아닌가 골치 아프게 협상을 왜…”“협상하는 아빠 조아”“협상하도록 하지”무려 인생 2회차 금수저가 탈출을 왜 해?아빠를 조련해 착한 사람으로 만들었다히히 세상 사람들이제 우리 아빠 악역 아니거든요아하, 샌드위치 만들다가 그런 거구나그럼 그럼우리 아빠는 이제 착해졌다구요",https://page.kakao.com/content/63767910
용사가 세계의 주적이라는데요?!,kakaopage,문금수,문금수,판타지,연재중,월,7.8만,9.9,59,4,3일,"전쟁,생존,먼치킨,마계,성장,노력,천재,용사,만능","승자의 요구를 무조건 한 가지 들어줘야 하는 인간과 마족의 오랜 전쟁, '신마대전'신마대전의 역사가 시작되고 수천 년 후, 용사 '요한' 일행이 마왕 '마르베스'에게 승리했다용사가 원하는 건 금은보화도 권력도 아닌 마왕의 용사 파티 참가?""마르베스(힐러)가 용사 파티에 들어왔다""",https://page.kakao.com/content/63551961
아쉴레앙 공작의 계약 결혼,kakaopage,"은오, 단청",오노아,로판,일시적 휴재,금,992.7만,10.0,92,3,3시간,"로맨스판타지,회귀물,중세물,짝사랑,운명,소유욕/독점욕,왕족/귀족,유혹남,계략남,대형견남,능력녀,무심녀,걸크러쉬,계약관계,정략결혼","부모를 죽인 원수인 '폭군 왕'을 무찌르기 위해쿠테타를 일으킨 우리 자매는 성공적으로 복수에 성공한다동생은 황제가 됐고, 언니인 나는 마수가 득실거리는 북부를 다스리는 공작이 되었다복수도 했고, 동생까지 황제로 만들었으니남은 과업은 단 하나그건 바로 동생으로 돕기 직전,신께 했던 맹세를 지키는 것그러기 위해선 일단 결혼을 해야하는데,연애고자인 나에겐 전쟁보다도 용 잡는 것보다도 '연애'가 더 어렵다그런데폭군의 사생아 왕자가 마침 계약 결혼을 제안해오네?""삼 년, 딱 삼년만 저와 결혼 관계를 유지해 주십시오 그 뒤에 바로 이혼해 드리겠습니다""'얘 뭐래니? 근데 왜 계속 눈에 밟히지?'연담 x 다온웹툰",https://page.kakao.com/content/58701452
서브남 아빠를 지키는 법,kakaopage,튼튼맨,"당근 강아지, 리쿠비",로판,시즌 휴재,일,199만,9.9,40,3,3시간,"로맨스판타지,육아물,빙의물,천재,순정남,왕족/귀족,능력녀,엉뚱발랄녀,외유내강,달달물,로맨틱코미디,힐링물","“네가 아스타를 살릴 방법을 알고 있다고? 네 말이 거짓이면 목숨을 내놓아야 할 거다”서브남 하르트가 서늘하게 경고했다‘이래봤자 원작 주인공 아스타는 당신을 이용하다 죽일 텐데’나는 안타까움을 삼키고, 비장한 얼굴로 대답했다“녜에”“…… 하”하르트는 내 알밤 같은 두 주먹을 어처구니없다는 듯 내려다보며 조소했다이게 내 친부와는 첫 만남인 게 좀 어이없긴 해도, 내가 그를 도울 수 있다는 말은 진짜였다난 빙의자고, 억울하게 죽게 되는 서브남 아빠를 구하러 왔으니까뭐 꼭 아빠만 딸을 구하란 법 있나?‘이 소설의 장르가 육아물이 아닌 게 좀 마음에 걸리지만, 괜찮아 나도 사랑을 받으려는 게 아니라, 아빠를 구원하려는 거니까’“이거 당장 치워 어린 애는 질색이다”…… 정말 괜찮은 거 맞겠지?",https://page.kakao.com/content/62998319
집착의 이유,kakaopage,보리빵,보리빵,로맨스,일시적 휴재,일,223.6만,9.8,58,3,3시간,"현대로맨스,메디컬물,집착남,소유욕/독점욕,재벌남,능력남,직진남,철벽녀,사제지간,츤데레남,드라마,상처녀","14년 전 사고로 부모님과 동생을 잃고, 외과 의사였던 아버지의 뒤를 잇기 위해의사가 된 외과 레지던트 3년 차 강주희부모님을 대신해 키워 준 작은 엄마의 등쌀에 억지로 선을 보러 가게 된호텔에서 두 번이나 넘어질 뻔한 주희를 구해 준 잘생긴 남자, 한재준""설마 일부러 이러는 겁니까?""""네?""""두 번이나 죽을 뻔했는데도 또 저 구두를 신는 건,진짜로 죽고 싶거나 나한테 안기고 싶어서 그러는 겁니까?""'왕자병에다가 도끼병까지 있는 이 남자는 뭐야?'""착각은 자유라지만, 오해가 심하시네요""""사망할 수도 있었는데 구해 주셨으니, 다음에 만나면 제대로 신세 갚을게요"" 다시는 볼 수 없을 줄 알고 호기롭게 외쳤는데, 재수 없는 그 남자를병원에서 다시 만났다? 심지어 담당 교수님이라고?과연 주희는 깐깐해 보이는 그에게 정체를 들키지 않고무사히 외과 생활을 할 수 있을까?두 주인공의 밀당과 숨 막히는 반전의 <집착의 이유>를지금 웹툰으로 만나보세요",https://page.kakao.com/content/61931976
공포게임 메이드로 살아남기,kakaopage,서치,신시어,로판,시즌 휴재,토,646.1만,10.0,52,5,1일,"로맨스판타지,빙의물,초월적존재,계략남,소유욕/독점욕,집착남,평범녀,엉뚱발랄녀,직진녀,로맨틱코미디,신분차이","""나 실망시키지마, 힐다""「아드리안의 살의가 오릅니다」「아드리안을 설득하여 살의를 낮추세요 그렇지 않으면 당신은 죽습니다」「아드리안의 살의 92%」아드리안 카이사르 폰 데어 팔츠그라프 팔츠그라프 가문의 후계자세상에서 천사로 칭송받는 그이지만, 나만은 알고 있었다 요즘 이 일대를 떠들썩하게 했던 연쇄살인과 살인미수가 전부 저 착해 보이는 도련님 짓이란 걸 아니, 나 밖에 알 수가 없었다이 말도 안 되는 공포게임 세계에 들어온 건 오로지 나뿐이었으니까나 좀 살려주라, 제발",https://page.kakao.com/content/62421765
악역 소녀는 사랑받기가 부끄러워요,kakaopage,경아(Terapin),치라,로판,연재중,금,"1,671.2만",10.0,72,4,3시간,"로맨스판타지,성장물,빙의물,짝사랑,능글남,다정남,짝사랑남,계략남,존댓말남,자상녀,외유내강,다정녀,힐링물,육아물,가족물","여주인공 ‘로렛타’를 괴롭히고 철저히 단죄당하는 악랄한 노예 상인의 딸‘멜로디’나는 살고 싶어서 잘해준 것뿐인데…“로레따는 메로디 절대 안 잊어”“메로디 없으면 로레따 울 거야”“그로니까 메로디 여기루 빨리 데려와야 대” “메로디가 로레따에게 시집왔으면 좋겠어”그 끝없는 애정 공세에 얼떨결에 나도 공작가에 들어가게 되고,“멜로디 양의 곁에 딱 붙어 있을게요”그곳에서 어째 더한 ‘멜로디 바보’ 도련님을 만나 버린 것 같다?악역 소녀인 내가 왜 사랑받고 있는 거지…?",https://page.kakao.com/content/61192421
"다시 한 번, 빛 속으로",kakaopage,,유야,로판,시즌 휴재,금,"3,418만",10.0,89,4,3시간,"로맨스판타지,환생물,가족물,여주판타지","성녀로 추앙 받는 동생을 죽이려고 했다는 누명을 썼다나를 믿어주는 사람 하나 없었고, 감싸주는 사람 하나 없었다심지어 피를 나눈 가족마저도14살의 겨울이덴베르의 4황녀였던 나는 사람들 앞에서 비참하게 목이 잘렸다생을 마감하고, 새로 눈을 뜬 나에게 다가온 것은…“아가야, 소중한 내 동생”그는 흐뭇하게 웃으며 내 작은 손가락을 잡아 주었다그 다정한 몸짓과 온기, 손길그는 나를 가볍게 안아 흔들며 자장가를 불러주었다원작 : 소설 <다시 한 번, 빛 속으로> 티카티카",https://page.kakao.com/content/57770713
인 더 케이지,kakaopage,,다인스튜디오,로맨스,연재중,금,15.4만,10.0,28,1,3시간,"현대로맨스,재회물,몸정>맘정,짝사랑,첫사랑,능글남,다정남,상처남,애교남,능력녀,철벽녀,나이차커플,드라마","“아직도 단 거 좋아해요?”“…식성이 쉽게 바뀌나요”“그럼 지금도 내꺼 좋아하려나?”선명한 도발에 그녀의 머리털이 쭈뼛 선다 다행히 승강기엔 둘 뿐이었지만, 웃어넘길 만한 농담 또한 아니었다“우리 그때처럼 다시 뒹굴죠 난잡하고 더럽게 나, 그러려고 온 거거든”",https://page.kakao.com/content/63801171
"내 곁에, 너를",kakaopage,클래버,먼지,로맨스,시즌 휴재,금,1.5만,9.6,24,3,,"현대로맨스,까칠남,나쁜남자,다정남,무심남,냉정남,순정녀,상처녀,다정녀,외유내강,계약관계,쌍방삽질,달달물,애잔물","[매주 금요일 업데이트]부모도 없이 가난한 삶을 살던 이수인 그녀는 어릴 적 알고 지내던 대기업 LN 그룹의 사장 차도준과 갑작스러운 계약 결혼을 하게 된다 원래부터 그를 맘에 품었던지라 결혼만으로 만족할 줄 알았는데, 신혼집에도 들어오지 않을 만큼 냉담한 도준 견디다 못한 수인이 이혼을 결심한 순간, 그가 서서히 변화하기 시작한다""내가, 너에 관해서 모르는 것이 없었으면 좋겠는데""보호받고 싶은 남자 도준과 지켜주고 싶은 여자 수인의 러브스토리*원작: 로즈에 [웹소설] 내 곁에, 너를",https://page.kakao.com/content/63594347
부검의 신,kakaopage,,조준희,드라마,시즌 휴재,금,325.1만,9.9,60,3,1일,,국과수의 부검실에 시체로 누워 있는 법의학자 김정훈그는 살아있는 의식 속에서 자신의 부검을 왜곡하며자살로 판정내리는 20년지기 동료 김상진을 보며그간의 삶을 후회하며 사라져 간다이윽고 다시 정신이 든 김정훈의 주위는국과수 초년병 시절의 2002년으로 돌아가 있는데…?마침내 그의 마지막 소원대로 과거의 잘못을 바로잡을 기회를 얻었다,https://page.kakao.com/content/60773409
레벨업하기 싫은 천마님,kakaopage,잉크헤드,프로디파이 스튜디오,판타지,시즌 휴재,금,208.9만,9.8,46,4,3시간,"차원이동,깽판,먼치킨,천재,천마,무공,만능,퓨전,시스템,성장,고인물,포식/흡수,레이드","중원을 일통한 절대자천마 진유성은 삶이 너무 지루했다“내가 미쳤지 괜히 무림을 통일해 가지고는……”“그냥 농사나 짓고 살걸”“아니, 그냥 태어나지 말걸”『레벨업 하기 싫은 천마님』그러던 어느 날 게이트와 조우하고……그 게이트를 넘으니, 새로운 세상이 펼쳐져 있었다고금제일의 무신이자, 천마신교의 교주한국 도착ⓒ잉크헤드,프로디파이 스튜디오,샤이나크/학산문화사",https://page.kakao.com/content/62963853
수의사님! 안녕하세요?,kakaopage,미역국(니니),"부숭숭(니니), 사기21(니니)",드라마,시즌 휴재,목,623.4만,10.0,50,3,1일,"힐링물,일상물,일상,초능력,메디컬,가족,친구,의사,동물,이야기중심,잔잔한,사랑스러운,귀여운,고퀄리티,노블코믹","[멍멍동물병원]동물병원을 개원한 첫날,응급환자를 맞이하게 되고 다행히 별문제 없이 치료를 마쳤는데""많이 아팠지? 잘 버텼어, 몽이야""""별말쓰믈여 성생님 덕부네 사라쓰니다""설마 지금 말티즈가 말을 한 건가??""근데 성생님은 내 말이 들려요?""어제까지만 해도 평범한 수의사던 내가아무래도 동물들의 말을 듣게 된 것 같다 왜??",https://page.kakao.com/content/62711843
리드래프트,kakaopage,뇨민,뇨민,드라마,완결,완결,107.1만,9.8,66,4,1일,"현대물,회귀/타임슬립,스포츠물,야구선수,여주중심",여자프로야구가 대세로 떠오른 지금 청춘을 다 바쳤지만 꿈을 이루지 못한 채 실패한 유망주로 은퇴한 야구선수 나린 어느 날 그녀에게 인생을 재시작 할 수 있는 기회가 찾아오는데,https://page.kakao.com/content/62336807
방구석 아싸인 내가 폭군에게 청혼 받아버렸다,kakaopage,로미유,외이레,로판,연재중,월,146.5만,9.8,51,4,1일,"로맨스판타지,성장물,빙의물,여주판타지,먼치킨,왕족/귀족,계략남,집착남,능력녀,계약관계,쌍방삽질,달달물,권선징악","'귀신 보는 년'이라는 꼬리표로 방구석에서 나가지 않던 내가 노잼이라며 읽다만 소설 속에 떨어졌다소설 속 남주인 녹티스 대공에게 죽은 엑스트라 악역, 플로티 베베니아에게무사히 살아남기만 하고자 다짐했건만""잘 잤나, 부인?""""그대는 나를 언제까지 어려워하는 건지""""서운해서 참을 수가 없어""날 죽이려던 대공이 조금 이상하다?난 이 노잼 소설에서 빠져나가고 싶을 뿐이라고",https://page.kakao.com/content/62676232
입양딸은 세상을 구원하고 싶습니다,kakaopage,진주,"Teeth wing, 말곰스튜디오",로판,시즌 휴재,일,10.6만,9.8,64,3,,"육아물,로맨스판타지,성장물,빙의물,여주판타지,가족물,운명,다정남,소유욕/독점욕,달달물,치유물,힐링물","가족도 친구도 없이 외롭게 지내던 첼리안, 밤을 새워 읽은 소설의 결말 때문에 충격으로 정신을 잃는다다시 눈을 떠보니 어린아이? 그리고 낯익은 풍경 여긴 책 속이잖아""달콤한 향이 나네?""""태양의 색을 가졌구나""어둠의 땅인 모데스의 마왕, 카르텐그는 첼리안을 전쟁 고아로 여기고 데려가 아빠가 되어주겠다며 달콤살벌(?)하게 첼리안을 보살핀다빛과 어둠, 두 진영의 끊임없는 전쟁을 막아야 세상의 멸망을 막을 수 있다첼리안은 자신이 아는 정보를 동원해 전쟁을 막으려고 애쓰지만 어쩐지 역부족설상가상 카르텐이 전쟁에서 크게 다치게 되고,첼리안은 상대 진영인 빛의 땅, 하센타트로 치유 보석을 구하러 떠난다하센타트에 도착하자마자 마주친 건, 성기사장 오헤니엘그런데 이게 웬걸? 오헤니엘도 자신을 입양하겠다고 난리다하지만 첼리안에게 두 아빠의 과한 사랑보다 간절한 건""제발 서로 싸우지나 말란 말이야""",https://page.kakao.com/content/61995812
다시 한 번 사랑한다면,kakaopage,fanqienovel,fanqienovel,로판,연재중,금,662,10.0,22,0,,"로맨스판타지,환생물,순정남,재벌남,능력남,능력녀,걸크러쉬,드라마","가장 아름답게 빛나던 날 죽음을 맞이했다 슈퍼 여배우 피시는 영예의 대상을 수상하던 날 쓰러져 죽음을 맞이하게 되었다 자신을 둘러싼 음모를 직감하고 이렇게  억울하게 죽을 수 없다고 몸부림친다이후 자신이 억만장자의 폐물 둘째 딸 이푸른나래로  환생했다는 것을 알게 된다질투, 괴롭힘으로 얼룩진 나약한  이푸른나래의 인생에서 당당한 주인으로 살기로 마음먹는다그녀는 억만 재산을 상속하지 않고 다시 연예계로 돌아가서 꿈을 이루기로 결심하는데……",https://page.kakao.com/content/63452734
"공포게임 조연인데요, 죽이지 마세요",kakaopage,둥그라미,뎅크,로판,연재중,금,192.3만,9.8,50,3,3시간,"로맨스판타지,영혼체인지,오해물,하렘물,역하렘,다정남,순정남,왕족/귀족,조신남,엉뚱발랄녀,평범녀,다정녀,갑을관계,로맨틱코미디,신분차이","공포 추리 게임 <살인자들의 밤> 속열 번째 희생자가 될 인물,가정교사 ‘아르비체 그린’으로 빙의했다유력한 용의자는 고용주인 리어먼드 공작, 레이커스""…사, 살인마""""그린 양은, 내가 범인이라고 확신하는군요그렇죠?""레이커스와 나눈 대화를 마지막으로 목숨을 잃었다남은 목숨은 하트는 두 개'하트를 다 쓰면 그땐 정말 어떻게 될지 몰라 그러니 최대한 이 게임의 메인 흐름에서 벗어나는 거야'유력 용의자인 레이커스와 멀어지려는 아르비체의 행동은의도와 달리 그의 흥미를 끌고야 마는데“제가 그린 양이 흥미롭다고 말했던 기억이 나나요?그 말, 철회해야겠군요”듣던 중 반가운 소리였다살인마의 흥미라니, 끔찍하기만 하다“흥미롭다는 말만으로는 부족할지도 모르겠군요”[레이커스 리어먼드의 호감도가 상승했습니다]'어? 이게 아닌데?'",https://page.kakao.com/content/62158497
