number,country,points,price,province,region_1,region_2,title,variety,winery
1049,Austria,95,,Österreichischer Sekt,,,Ebner-Ebenauer 2008 Blanc de Blancs Chardonnay (Österreichischer Sekt),Chardonnay,Ebner-Ebenauer
1050,US,95,150.0,California,Oakville,Napa,B Cellars 2012 Blend 26 Cabernet Sauvignon (Oakville),Cabernet Sauvignon,B Cellars
1051,US,95,40.0,California,Santa Maria Valley,Central Coast,Chanin 2014 Bien Nacido VIneyard Chardonnay (Santa Maria Valley),Chardonnay,Chanin
1052,France,95,170.0,Champagne,Champagne,,Moët & Chandon 2005 Dom Pérignon Brut  (Champagne),Champagne Blend,Moët & Chandon
1053,Germany,95,80.0,Franken,,,Rudolf Fürst 2013 Klingenberger Spätburgunder (Franken),Spätburgunder,Rudolf Fürst
1054,US,95,45.0,Oregon,Ribbon Ridge,Willamette Valley,Brick House 2013 Essence Chardonnay (Ribbon Ridge),Chardonnay,Brick House
1055,US,95,52.0,California,Santa Lucia Highlands,Central Coast,Roar 2014 Sierra Mar Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Roar
1056,Portugal,95,,Port,,,Taylor Fladgate 1966 Single Harvest  (Port),Port,Taylor Fladgate
1057,France,95,199.0,Champagne,Champagne,,Taittinger 2006 Comtes de Champagne Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Taittinger
1058,US,95,55.0,California,Russian River Valley,Sonoma,Gary Farrell 2013 Rochioli Vineyard Chardonnay (Russian River Valley),Chardonnay,Gary Farrell
1059,France,95,105.0,Champagne,Champagne,,Lanson NV Extra Age Brut  (Champagne),Champagne Blend,Lanson
1060,US,95,60.0,California,Santa Cruz Mountains,Central Coast,Thomas Fogarty 2012 Langley Hill Vineyard Estate Grown Chardonnay (Santa Cruz Mountains),Chardonnay,Thomas Fogarty
1061,US,95,40.0,California,Santa Cruz Mountains,Central Coast,Martin Ray 2014 Coast Grade Vineyards Pinot Noir (Santa Cruz Mountains),Pinot Noir,Martin Ray
1062,US,95,90.0,California,Anderson Valley,,Donum 2013 Angel Camp Pinot Noir (Anderson Valley),Pinot Noir,Donum
1063,France,95,973.0,Burgundy,Musigny,,Domaine Jacques Prieur 2014  Musigny,Pinot Noir,Domaine Jacques Prieur
1064,Spain,95,165.0,Northern Spain,Rioja,,Marqués de Murrieta 2004 Dalmau  (Rioja),Tempranillo Blend,Marqués de Murrieta
1065,US,95,48.0,California,Sta. Rita Hills,Central Coast,Gainey 2008 Limited Selection Pinot Noir (Sta. Rita Hills),Pinot Noir,Gainey
1066,US,95,55.0,California,Anderson Valley,,Breggo 2006 Savoy Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Breggo
1067,US,95,60.0,California,Anderson Valley,,Walt 2010 The Corners Pinot Noir (Anderson Valley),Pinot Noir,Walt
1068,Italy,95,70.0,Tuscany,Toscana,,San Giusto a Rentennano 2004 Percarlo Sangiovese (Toscana),Sangiovese,San Giusto a Rentennano
1069,Italy,95,93.0,Tuscany,Toscana,,Tenuta Sette Ponti 2005 Oreno Red (Toscana),Red Blend,Tenuta Sette Ponti
1070,Portugal,95,99.0,Port,,,Fonseca 2009 Vintage  (Port),Port,Fonseca
1071,US,95,75.0,Washington,Columbia Valley (WA),Columbia Valley,Corliss Estates 2006 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Corliss Estates
1072,US,95,125.0,California,Napa Valley,Napa,Stag's Leap Wine Cellars 2008 S.L.V. Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Stag's Leap Wine Cellars
1073,Spain,95,170.0,Northern Spain,Rioja,,Sierra Cantabria 2009 Finca El Bosque  (Rioja),Tempranillo,Sierra Cantabria
1074,US,95,65.0,Oregon,Dundee Hills,Willamette Valley,Domaine Drouhin Oregon 2010 Laurène Pinot Noir (Dundee Hills),Pinot Noir,Domaine Drouhin Oregon
1075,US,95,80.0,California,Diamond Mountain District,Napa,Von Strasser 2009 Spaulding Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Von Strasser
1076,US,95,35.0,California,Sonoma County,Sonoma,Arrowood 2005 Reserve Speciale Chardonnay (Sonoma County),Chardonnay,Arrowood
1077,US,95,95.0,Washington,Red Mountain,Columbia Valley,Quilceda Creek 2004 Galitzine Vineyard Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Quilceda Creek
1078,US,95,55.0,California,Paso Robles,Central Coast,Saxum 2005 James Berry Vineyard Red (Paso Robles),Rhône-style Red Blend,Saxum
1079,Austria,95,34.0,Wachau,,,Josef Jamek 2006 Jochinger Berg Federspiel Riesling (Wachau),Riesling,Josef Jamek
1080,US,95,70.0,California,Diamond Mountain District,Napa,Von Strasser 2005 Sori Bricco Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Von Strasser
1081,US,95,150.0,California,Napa Valley,Napa,La Sirena 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,La Sirena
1082,US,95,50.0,California,Sonoma Coast,Sonoma,Furthermore 2009 Gap's Crown Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Furthermore
1083,US,95,80.0,California,Diamond Mountain District,Napa,Von Strasser 2009 Sori Bricco Vineyard Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,Von Strasser
1084,US,95,40.0,California,Mendocino Ridge,,Donkey & Goat 2011 Perli Vineyards Syrah (Mendocino Ridge),Syrah,Donkey & Goat
1085,Portugal,95,588.0,Port,,,Taylor Fladgate 1964 Very Old Single Harvest  (Port),Port,Taylor Fladgate
1086,Italy,95,80.0,Tuscany,Toscana,,Isole e Olena 2012 Cepparello Sangiovese (Toscana),Sangiovese,Isole e Olena
1087,Austria,95,89.0,Wachau,,,Franz Hirtzberger 2015 Honivogl Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,Franz Hirtzberger
1088,US,95,75.0,California,Adelaida District,Central Coast,Daou 2014 Cuvée Lizzy Red (Adelaida District),Bordeaux-style Red Blend,Daou
1089,US,95,42.0,California,Santa Maria Valley,Central Coast,Cordant 2014 Presqu'ile Vineyard Syrah (Santa Maria Valley),Syrah,Cordant
1090,US,95,50.0,California,Napa Valley,Napa,Carlisle 2014 Palisades Vineyard Petite Sirah (Napa Valley),Petite Sirah,Carlisle
1091,Austria,95,75.0,Kamptal,,,Bründlmayer 2015 Heiligenstein Alte Reben Reserve Riesling (Kamptal),Riesling,Bründlmayer
1092,Italy,95,120.0,Tuscany,Brunello di Montalcino,,Lazzeretti 2010 Riserva  (Brunello di Montalcino),Sangiovese,Lazzeretti
1093,Italy,95,66.0,Tuscany,Bolgheri Superiore,,Podere Sapaio 2004 Sapaio  (Bolgheri Superiore),Red Blend,Podere Sapaio
1094,Italy,95,140.0,Tuscany,Toscana,,Castello del Terriccio 2004 Castello del Terriccio Red (Toscana),Red Blend,Castello del Terriccio
1095,Italy,95,79.0,Tuscany,Toscana,,Marchesi Antinori 2004 Tignanello Red (Toscana),Red Blend,Marchesi Antinori
1096,US,95,58.0,California,Arroyo Grande Valley,Central Coast,Talley 2009 Rincon Vineyard Pinot Noir (Arroyo Grande Valley),Pinot Noir,Talley
1097,US,95,49.0,California,Russian River Valley,Sonoma,Marimar Estate 2008 Cristina Don Miguel Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Marimar Estate
1098,US,95,60.0,California,Sta. Rita Hills,Central Coast,Sanford 2009 La Rinconada Pinot Noir (Sta. Rita Hills),Pinot Noir,Sanford
1099,Argentina,95,50.0,Mendoza Province,La Consulta,,Trapiche 2009 Finca Jorge Miralles Single Vineyard Malbec (La Consulta),Malbec,Trapiche
1100,US,95,70.0,California,Arroyo Grande Valley,Central Coast,Talley 2009 Rosemary's Vineyard Pinot Noir (Arroyo Grande Valley),Pinot Noir,Talley
1101,France,95,66.0,Provence,Bandol,,Domaine de la Bégude 2012 La Brûlade Red (Bandol),Provence red blend,Domaine de la Bégude
1102,US,95,36.0,California,Russian River Valley,Sonoma,Limerick Lane 2013 Syrah-Grenache (Russian River Valley),Syrah-Grenache,Limerick Lane
1103,US,95,63.0,California,Russian River Valley,Sonoma,Merry Edwards 2013 Klopp Ranch Pinot Noir (Russian River Valley),Pinot Noir,Merry Edwards
1104,New Zealand,95,100.0,Hawke's Bay,,,Trinity Hill 2013 Homage Syrah (Hawke's Bay),Syrah,Trinity Hill
1105,US,95,95.0,California,Calistoga,Napa,Venge 2013 Bone Ash Vineyard Cabernet Sauvignon (Calistoga),Cabernet Sauvignon,Venge
1106,Spain,95,90.0,Catalonia,Priorat,,Marco Abella 2010 Clos Abella Red (Priorat),Red Blend,Marco Abella
1107,US,95,85.0,California,Napa Valley,Napa,D.R. Stephens 2013 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,D.R. Stephens
1108,US,95,50.0,California,Stags Leap District,Napa,Pine Ridge 1997 Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Pine Ridge
1109,Italy,95,50.0,Tuscany,Cortona,,Avignonesi 2004 Desiderio Red (Cortona),Red Blend,Avignonesi
1110,US,95,125.0,California,Mount Veeder,Napa,Cardinale 1997 Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,Cardinale
1111,US,95,55.0,California,Napa Valley,Napa,Prime 2008 Midoriya Hills Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Prime
1112,US,95,105.0,California,Stags Leap District,Napa,Baldacci 2008 Brenda's Vineyard Cabernet Sauvignon (Stags Leap District),Cabernet Sauvignon,Baldacci
1113,US,95,49.0,Washington,Washington,Washington Other,Woodward Canyon 2009 Artist Series #18 Cabernet Sauvignon (Washington),Cabernet Sauvignon,Woodward Canyon
1114,US,95,30.0,Washington,Columbia Gorge (WA),Washington Other,Tranche 2008 Chardonnay (Columbia Gorge (WA)),Chardonnay,Tranche
1115,France,95,115.0,Burgundy,Chablis,,Domaine Christian Moreau Père et Fils 2009 Clos des Hospices Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Christian Moreau Père et Fils
1116,US,95,52.0,California,Russian River Valley,Sonoma,Williams Selyem 2013 Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem
1117,France,95,312.0,Burgundy,Clos de la Roche,,Roche de Bellene 2012  Clos de la Roche,Pinot Noir,Roche de Bellene
1118,US,95,55.0,Washington,Columbia Valley (WA),Columbia Valley,Gramercy 2012 Lagniappe Syrah (Columbia Valley (WA)),Syrah,Gramercy
1119,US,95,85.0,Washington,Walla Walla Valley (WA),Columbia Valley,Gramercy 2012 John Lewis Syrah (Walla Walla Valley (WA)),Syrah,Gramercy
1120,US,95,125.0,California,Alexander Valley,Sonoma,Devil Proof 2013 Farrow Ranch Malbec (Alexander Valley),Malbec,Devil Proof
1121,Austria,95,80.0,Kamptal,,,Loimer 2015 Steinmassl Riesling (Kamptal),Riesling,Loimer
1122,US,95,50.0,California,Sonoma Valley,Sonoma,Three Sticks 2014 Durell Vineyard Chardonnay (Sonoma Valley),Chardonnay,Three Sticks
1123,New Zealand,95,79.0,Hawke's Bay,,,Squawking Magpie 2014 SQM Gimblett Gravels Cabernets/Merlot Red (Hawke's Bay),Bordeaux-style Red Blend,Squawking Magpie
1124,France,95,140.0,Champagne,Champagne,,Laurent-Perrier NV Grand Siècle La Cuvée Brut  (Champagne),Champagne Blend,Laurent-Perrier
1125,France,95,90.0,Bordeaux,Pessac-Léognan,,Château Smith Haut Lafitte 2012  Pessac-Léognan,Bordeaux-style White Blend,Château Smith Haut Lafitte
1126,Italy,95,130.0,Piedmont,Barolo,,Poderi Aldo Conterno 2010 Bussia Cicala  (Barolo),Nebbiolo,Poderi Aldo Conterno
1127,US,95,78.0,California,Howell Mountain,Napa,Piña 2005 Buckeye Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Piña
1128,France,95,50.0,Bordeaux,Barsac,,Château Doisy-Daëne 2005  Barsac,Bordeaux-style White Blend,Château Doisy-Daëne
1129,Spain,95,50.0,Northern Spain,Toro,,Maurodos 2004 San Román  (Toro),Tinta de Toro,Maurodos
1130,France,95,65.0,Bordeaux,Sauternes,,Château Guiraud 2005  Sauternes,Bordeaux-style White Blend,Château Guiraud
1131,US,95,60.0,California,Green Valley,Sonoma,Hartford Court 2007 Hailey's Block Pinot Noir (Green Valley),Pinot Noir,Hartford Court
1132,Austria,95,74.0,Wachau,,,Franz Hirtzberger 2007 Hochrain Smaragd Riesling (Wachau),Riesling,Franz Hirtzberger
1133,Austria,95,126.0,Wachau,,,Franz Hirtzberger 2007 Singerriedel Smaragd Riesling (Wachau),Riesling,Franz Hirtzberger
1134,US,95,120.0,California,Spring Mountain District,Napa,Barnett 2005 Rattlesnake Hill Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Barnett
1135,France,95,276.0,Bordeaux,Saint-Émilion,,Le Dôme 2005  Saint-Émilion,Bordeaux-style Red Blend,Le Dôme
1136,France,95,204.0,Champagne,Champagne,,Taittinger 1995 Comtes de Champagne Brut Rosé  (Champagne),Champagne Blend,Taittinger
1137,Italy,95,75.0,Piedmont,Barolo,,Elvio Cogno 2010 Ravera  (Barolo),Nebbiolo,Elvio Cogno
1138,US,95,,California,Napa Valley,Napa,Colgin 2005 Tychson Hill Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Colgin
1139,Austria,95,,Kremstal,,,Proidl 2014 Senftenberger Ehrenfels Reserve Grüner Veltliner (Kremstal),Grüner Veltliner,Proidl
1140,Austria,95,36.0,Kremstal,,,Malat 2014 Alte Reben Höhlgraben Reserve Grüner Veltliner (Kremstal),Grüner Veltliner,Malat
1141,Austria,95,85.0,Wachau,,,F X Pichler 2014 Dürnsteiner Kellerberg Smaragd Riesling (Wachau),Riesling,F X Pichler
1142,Austria,95,64.0,Wachau,,,Emmerich Knoll 2014 Ried Pfaffenberg Selection Riesling (Wachau),Riesling,Emmerich Knoll
1143,France,95,,Bordeaux,Pauillac,,Château Pichon Longueville Comtesse de Lalande 2005  Pauillac,Bordeaux-style Red Blend,Château Pichon Longueville Comtesse de Lalande
1144,Italy,95,75.0,Piedmont,Barolo,,Giacomo Grimaldi 2005 Le Coste  (Barolo),Nebbiolo,Giacomo Grimaldi
1145,US,95,90.0,California,Napa Valley,Napa,Blackbird Vineyards 2007 Paramour Red (Napa Valley),Bordeaux-style Red Blend,Blackbird Vineyards
1146,Spain,95,167.0,Northern Spain,Rioja,,Sierra Cantabria 2006 Amancio  (Rioja),Tempranillo,Sierra Cantabria
1147,France,95,,Bordeaux,Saint-Julien,,Château Léoville Poyferré 2008 Barrel sample  (Saint-Julien),Bordeaux-style Red Blend,Château Léoville Poyferré
1148,France,95,,Bordeaux,Margaux,,Château Margaux 2008 Barrel sample  (Margaux),Bordeaux-style Red Blend,Château Margaux
1149,France,95,56.0,Bordeaux,Pessac-Léognan,,Château Malartic-Lagravière 2012  Pessac-Léognan,Bordeaux-style White Blend,Château Malartic-Lagravière
1150,Italy,95,65.0,Piedmont,Barolo,,Sordo 2010 Monvigliero  (Barolo),Nebbiolo,Sordo
1151,Austria,95,54.0,Kamptal,,,Schloss Gobelsburg 2015 Heiligenstein Riesling (Kamptal),Riesling,Schloss Gobelsburg
1152,US,95,200.0,California,Oakville,Napa,Ramey 2013 Pedregal Vineyard Cabernet Sauvignon (Oakville),Cabernet Sauvignon,Ramey
1153,Austria,95,31.0,Kamptal,,,Schloss Gobelsburg 2015 Gaisberg Riesling (Kamptal),Riesling,Schloss Gobelsburg
1154,US,95,40.0,California,Shenandoah Valley (CA),Sierra Foothills,Terre Rouge 2013 Sentinel Oak Vineyard Pyramid Block Syrah (Shenandoah Valley (CA)),Syrah,Terre Rouge
1155,Italy,95,110.0,Tuscany,Toscana,,Le Macchiole 2012 Paleo Rosso Cabernet Franc (Toscana),Cabernet Franc,Le Macchiole
1156,Austria,95,48.0,Kremstal,,,Malat 2015 Silberbichl Reserve Riesling (Kremstal),Riesling,Malat
1157,US,95,48.0,California,California,California Other,Herman Story 2013 Casual Encounters Red (California),Rhône-style Red Blend,Herman Story
1158,Austria,95,48.0,Wachau,,,Franz Hirtzberger 2015 Kirchweg Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,Franz Hirtzberger
1159,Austria,95,65.0,Wachau,,,Alzinger 2015 Loibenberg Smaragd Riesling (Wachau),Riesling,Alzinger
1160,Italy,95,55.0,Tuscany,Chianti Classico,,San Felice 2013 Il Grigio Gran Selezione  (Chianti Classico),Red Blend,San Felice
1161,Austria,95,42.0,Kremstal,,,Malat 2015 Steinbühel Riesling (Kremstal),Riesling,Malat
1162,US,95,80.0,California,Russian River Valley,Sonoma,Lynmar 2014 Summit Block Pinot Noir (Russian River Valley),Pinot Noir,Lynmar
1163,US,95,125.0,California,Edna Valley,Central Coast,Wedell Cellars 2010 Hillside Vineyard Pinot Noir (Edna Valley),Pinot Noir,Wedell Cellars
1164,France,95,55.0,Loire Valley,Sancerre,,Henri Bourgeois 2012 Jadis  (Sancerre),Sauvignon Blanc,Henri Bourgeois
1165,Italy,95,80.0,Piedmont,Barolo,,Poderi Aldo Conterno 2010 Bussia  (Barolo),Nebbiolo,Poderi Aldo Conterno
1166,US,95,42.0,California,Anderson Valley,,Lazy Creek 2012 Pinot Noir (Anderson Valley),Pinot Noir,Lazy Creek
1167,Italy,95,55.0,Piedmont,Barolo,,Sordo 2010 Gabutti  (Barolo),Nebbiolo,Sordo
1168,Italy,95,123.0,Piedmont,Barolo,,Oddero 2010 Brunate  (Barolo),Nebbiolo,Oddero
1169,US,95,75.0,California,Sonoma Mountain,Sonoma,Paul Hobbs 2012 Richard Dinner Vineyard Chardonnay (Sonoma Mountain),Chardonnay,Paul Hobbs
1170,US,95,95.0,California,Napa Valley,Napa,Kendall-Jackson 2003 Stature Red (Napa Valley),Bordeaux-style Red Blend,Kendall-Jackson
1171,France,95,200.0,Bordeaux,Pomerol,,Château Hosanna 2005  Pomerol,Bordeaux-style Red Blend,Château Hosanna
1172,France,95,80.0,Bordeaux,Saint-Julien,,Château Branaire-Ducru 2005  Saint-Julien,Bordeaux-style Red Blend,Château Branaire-Ducru
1173,France,95,,Bordeaux,Saint-Émilion,,Château Belair 2005  Saint-Émilion,Bordeaux-style Red Blend,Château Belair
1174,Australia,95,300.0,Victoria,Rutherglen,,Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Muscat,Chambers Rosewood Vineyards
1175,US,95,50.0,California,Sta. Rita Hills,Central Coast,Sea Smoke 2005 Southing Pinot Noir (Sta. Rita Hills),Pinot Noir,Sea Smoke
1176,US,95,125.0,California,Rutherford,Napa,Quintessa 2004 Red (Rutherford),Bordeaux-style Red Blend,Quintessa
1177,US,95,85.0,California,Napa Valley,Napa,Duckhorn 2009 Three Palms Vineyard Merlot (Napa Valley),Merlot,Duckhorn
1178,Italy,95,100.0,Central Italy,Sagrantino di Montefalco,,Arnaldo Caprai 2007 25 Anni  (Sagrantino di Montefalco),Sagrantino,Arnaldo Caprai
1179,France,95,90.0,Burgundy,Chambolle-Musigny,,Louis Jadot 2005 Les Baudes Premier Cru  (Chambolle-Musigny),Pinot Noir,Louis Jadot
1180,US,95,62.0,California,Mt. Harlan,Central Coast,Calera 2013 Mills Pinot Noir (Mt. Harlan),Pinot Noir,Calera
1181,Italy,95,130.0,Piedmont,Barolo,,Vietti 2006 Rocche  (Barolo),Nebbiolo,Vietti
1182,Italy,95,94.0,Piedmont,Barolo,,Massolino 2006 Parafada  (Barolo),Nebbiolo,Massolino
1183,France,95,390.0,Champagne,Champagne,,Laurent-Perrier 1998 Grand Siècle Alexandra Brut Rosé  (Champagne),Champagne Blend,Laurent-Perrier
1184,France,95,,Champagne,Champagne,,Moët & Chandon 2000 Dom Pérignon Brut  (Champagne),Champagne Blend,Moët & Chandon
1185,France,95,121.0,Rhône Valley,Châteauneuf-du-Pape,,Alain Jaume et Fils 2009 Domaine Grand Veneur Vieilles Vignes Red (Châteauneuf-du-Pape),Rhône-style Red Blend,Alain Jaume et Fils
1186,US,95,75.0,California,Chalk Hill,Sonoma,Creō 2007 Cabernet Sauvignon (Chalk Hill),Cabernet Sauvignon,Creō
1187,Austria,95,,Kamptal,,,Eichinger 2010 Heiligenstein Erste Lage Reserve Riesling (Kamptal),Riesling,Eichinger
1188,US,95,70.0,California,Russian River Valley,Sonoma,Lynmar 2010 Quail Hill Vineyard Lynn's Blend Pinot Noir (Russian River Valley),Pinot Noir,Lynmar
1189,US,95,65.0,California,Howell Mountain,Napa,La Jota Vineyard 2009 Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,La Jota Vineyard
1190,US,95,30.0,California,Russian River Valley,Sonoma,Arrowood 2009 Saralee's Vineyard Viognier (Russian River Valley),Viognier,Arrowood
1191,US,95,75.0,Washington,Horse Heaven Hills,Columbia Valley,Andrew Will 2009 Sorella Red (Horse Heaven Hills),Bordeaux-style Red Blend,Andrew Will
1192,Italy,95,,Piedmont,Barbaresco,,Moccagatta 2007 Basarin  (Barbaresco),Nebbiolo,Moccagatta
1193,Australia,95,60.0,South Australia,Clare Valley,,Wakefield 2013 St. Andrews Single Vineyard Release Shiraz (Clare Valley),Shiraz,Wakefield
1194,US,95,165.0,California,Napa Valley,Napa,Hourglass 2012 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Hourglass
1195,Italy,95,46.0,Piedmont,Barolo,,Guido Porro 2011 Lazzairasco  (Barolo),Nebbiolo,Guido Porro
1196,US,95,40.0,California,Shenandoah Valley (CA),Sierra Foothills,Terre Rouge 2012 Sentinel Oak Vineyard Pyramid Block Syrah (Shenandoah Valley (CA)),Syrah,Terre Rouge
1197,US,95,75.0,Washington,Walla Walla Valley (WA),Columbia Valley,No Girls 2012 La Paciencia Vineyard Tempranillo (Walla Walla Valley (WA)),Tempranillo,No Girls
1198,US,95,55.0,California,Anderson Valley,,Waits-Mast 2012 Deer Meadows Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Waits-Mast
1199,US,95,140.0,Washington,Columbia Valley (WA),Columbia Valley,Quilceda Creek 2012 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Quilceda Creek
1200,US,95,95.0,California,Napa Valley,Napa,Darioush 2012 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Darioush
1201,Italy,95,60.0,Tuscany,Brunello di Montalcino,,Sesta di Sopra 2006  Brunello di Montalcino,Sangiovese Grosso,Sesta di Sopra
1202,France,95,,Burgundy,Chablis,,Domaine Jean-Paul et Benoît Droin 2013 Vaulorent Premier Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin
1203,France,95,,Burgundy,Chablis,,Domaine Laroche 2012 La Réserve de l'Obédience Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Laroche
1204,France,95,69.0,Burgundy,Chablis,,Domaine Jean-Paul et Benoît Droin 2013 Grenouilles Grand Cru  (Chablis),Chardonnay,Domaine Jean-Paul et Benoît Droin
1205,France,95,106.0,Burgundy,Chablis,,Domaine Christian Moreau Père et Fils 2013 Les Clos Grand Cru  (Chablis),Chardonnay,Domaine Christian Moreau Père et Fils
1206,Italy,95,252.0,Piedmont,Barolo,,Ceretto 2005 Bricco Rocche Bricco Rocche  (Barolo),Nebbiolo,Ceretto
1207,US,95,35.0,California,Sta. Rita Hills,Central Coast,Holus Bolus 2014 Franc de Pied Syrah (Sta. Rita Hills),Syrah,Holus Bolus
1208,Italy,95,,Piedmont,Barolo,,Podere Rocche dei Manzoni 2006 Vigna Cappella di Santo Stefano  (Barolo),Nebbiolo,Podere Rocche dei Manzoni
1209,Italy,95,,Piedmont,Barolo,,Cordero di Montezemolo 2006 Bricco Gattera  (Barolo),Nebbiolo,Cordero di Montezemolo
1210,Spain,95,85.0,Catalonia,Priorat,,Vall Llach 2005 Red (Priorat),Red Blend,Vall Llach
1211,France,95,150.0,Champagne,Champagne,,Bollinger 2000 La Grand Année Brut  (Champagne),Champagne Blend,Bollinger
1212,Italy,95,100.0,Piedmont,Barolo,,Eugenio Bocchino 2006 La Serra  (Barolo),Nebbiolo,Eugenio Bocchino
1213,Italy,95,,Piedmont,Barolo,,Marchesi di Barolo 2006 Coste di Rose  (Barolo),Nebbiolo,Marchesi di Barolo
1214,France,95,67.0,Champagne,Champagne,,Louis Roederer 2004 Vintage Brut  (Champagne),Champagne Blend,Louis Roederer
1215,France,95,95.0,Champagne,Champagne,,Henriot 1998 Millésimé Brut  (Champagne),Champagne Blend,Henriot
1216,US,95,82.0,Washington,Walla Walla Valley (WA),Columbia Valley,Doubleback 2007 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Doubleback
1217,US,95,54.0,California,Russian River Valley,Sonoma,Williams Selyem 2007 Peay Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem
1218,US,95,110.0,California,Napa Valley,Napa,Knights Bridge 2007 Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Knights Bridge
1219,US,95,60.0,California,Carneros,Napa-Sonoma,Etude 2007 Deer Camp Pinot Noir (Carneros),Pinot Noir,Etude
1220,France,95,120.0,Champagne,Champagne,,Duval-Leroy 1996 Cuvée Femme Brut  (Champagne),Champagne Blend,Duval-Leroy
1221,US,95,50.0,California,Sonoma Valley,Sonoma,Sbragia 2006 Monte Rosso Vineyard Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Sbragia
1222,France,95,150.0,Champagne,Champagne,,Ruinart 1998 Dom Ruinart Brut Chardonnay (Champagne),Chardonnay,Ruinart
1223,Italy,95,,Piedmont,Barolo,,Mauro Molino 2005 Vigna Conca  (Barolo),Nebbiolo,Mauro Molino
1224,Italy,95,,Piedmont,Barolo,,Cantina Bartolo Mascarello 2005  Barolo,Nebbiolo,Cantina Bartolo Mascarello
1225,US,95,75.0,California,Howell Mountain,Napa,Sbragia 2006 Rancho Del Oso Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Sbragia
1226,Australia,95,125.0,South Australia,Barossa Valley,,Torbreck 2012 Descendant Shiraz-Viognier (Barossa Valley),Shiraz-Viognier,Torbreck
1227,Italy,95,60.0,Piedmont,Barolo,,Bel Colle 2012 Simposio  (Barolo),Nebbiolo,Bel Colle
1228,US,95,200.0,California,Diamond Mountain District,Napa,J. Davies 2012 Jamie Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,J. Davies
1229,France,95,380.0,Burgundy,Criots-Bâtard-Montrachet,,Louis Latour 2014  Criots-Bâtard-Montrachet,Chardonnay,Louis Latour
1230,US,95,48.0,Oregon,Dundee Hills,Willamette Valley,Winderlea 2014 Weber Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Winderlea
1231,Italy,95,75.0,Tuscany,Montecucco,,Amantis 2007 Riserva  (Montecucco),Sangiovese,Amantis
1232,US,95,125.0,California,Napa Valley,Napa,Janzen 2012 Beckstoffer Missouri Hopper Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Janzen
1233,US,95,85.0,Washington,Columbia Valley (WA),Columbia Valley,Gramercy 2012 Reserve Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Gramercy
1234,Portugal,95,50.0,Madeira,,,Blandy's 2002 Colheita Bual (Madeira),Bual,Blandy's
1235,Germany,95,103.0,Baden,,,Bernhard Huber 2010 Bienenberg R Erste Lage GG Spätburgunder (Baden),Spätburgunder,Bernhard Huber
1236,France,95,90.0,Burgundy,Chablis,,William Fèvre 2013 Vaudésir Grand Cru  (Chablis),Chardonnay,William Fèvre
1237,Italy,95,165.0,Northeastern Italy,Alto Adige,,Terlan 2004 Rarità 2004 Pinot Bianco (Alto Adige),Pinot Bianco,Terlan
