number,country,points,price,province,region_1,region_2,title,variety,winery,LightBold,SmoothTannin,DrySweet,SoftAcidic
1007,Italy,95,75.0,Tuscany,Brunello di Montalcino,,Castelgiocondo+++Brunello+di+Montalcino,Sangiovese Grosso,Castelgiocondo,50,50,50,50
1008,Italy,95,50.0,Tuscany,Brunello di Montalcino,,Casanova+di+Neri+++Brunello+di+Montalcino,Sangiovese Grosso,Casanova di Neri,50,50,50,50
1009,US,95,85.0,California,Napa Valley,Napa,Dolce++Late+Harvest+Semillon-Sauvignon+Blanc+Napa+Valley,Semillon-Sauvignon Blanc,Dolce,50,50,50,50
1010,Italy,95,75.0,Tuscany,Brunello di Montalcino,,Verbena++Riserva++Brunello+di+Montalcino,Sangiovese Grosso,Verbena,50,50,50,50
1011,Italy,95,61.0,Tuscany,Brunello di Montalcino,,Tenimenti+Angelini++Val+di+Suga++Brunello+di+Montalcino,Sangiovese Grosso,Tenimenti Angelini,50,50,50,50
1012,Italy,95,120.0,Tuscany,Brunello di Montalcino,,Siro+Pacenti++Riserva++Brunello+di+Montalcino,Sangiovese Grosso,Siro Pacenti,50,50,50,50
1013,Italy,95,,Tuscany,Tuscany,,Marchesi+de'+Frescobaldi++Castello+di+Pomino+Vendemmia+Tardiva+White+Tuscany,White Blend,Marchesi de' Frescobaldi,50,50,50,50
1014,Italy,95,60.0,Tuscany,Brunello di Montalcino,,Poggio+Nardone++Riserva++Brunello+di+Montalcino,Sangiovese,Poggio Nardone,50,50,50,50
1015,Portugal,95,46.0,Alentejo,,,Mouchão++Red+Alentejo,Portuguese Red,Mouchão,50,50,50,50
1016,France,95,143.0,Burgundy,Corton,,Domaine+des+Croix++La+Vigne+au+Saint++Corton,Pinot Noir,Domaine des Croix,50,50,50,50
1017,Italy,95,200.0,Piedmont,Barbaresco,,Bruno+Giacosa++Asili++Barbaresco,Nebbiolo,Bruno Giacosa,50,50,50,50
1018,Italy,95,76.0,Piedmont,Barolo,,Elvio+Cogno++Ravera++Barolo,Nebbiolo,Elvio Cogno,50,50,50,50
1019,US,95,55.0,California,Sonoma Coast,Sonoma,Joseph+Phelps++Freestone+Vineyards+Estate+Grown+Chardonnay+Sonoma+Coast,Chardonnay,Joseph Phelps,50,50,50,50
1020,France,95,80.0,Champagne,Champagne,,Louis+Roederer++Rosé++Champagne,Champagne Blend,Louis Roederer,50,50,50,50
1021,Spain,95,149.0,Northern Spain,Rioja,,Sierra+Cantabria++Amancio++Rioja,Tempranillo,Sierra Cantabria,50,50,50,50
1022,US,95,85.0,Oregon,Dundee Hills,Willamette Valley,Bergström++Bergström+Vineyard+Pinot+Noir+Dundee+Hills,Pinot Noir,Bergström,50,50,50,50
1023,France,95,320.0,Champagne,Champagne,,Moët+&+Chandon++Dom+Pérignon+Brut+Rosé++Champagne,Champagne Blend,Moët & Chandon,50,50,50,50
1024,US,95,240.0,California,Napa Valley,Napa,Joseph+Phelps++Insignia+Estate+Grown+Red+Napa+Valley,Bordeaux-style Red Blend,Joseph Phelps,50,50,50,50
1025,France,95,90.0,Champagne,Champagne,,Bruno+Paillard++Blanc+de+Blancs+Brut+Chardonnay+Champagne,Chardonnay,Bruno Paillard,50,50,50,50
1026,US,95,60.0,California,Sta. Rita Hills,Central Coast,Babcock++Slice+of+Heaven+Pinot+Noir+Sta.+Rita+Hills,Pinot Noir,Babcock,50,50,50,50
1027,US,95,64.0,California,Anderson Valley,,Arista++Ferrington+Vineyard+Pinot+Noir+Anderson+Valley,Pinot Noir,Arista,50,50,50,50
1028,Italy,95,78.0,Piedmont,Barolo,,Fratelli+Alessandria++Monvigliero++Barolo,Nebbiolo,Fratelli Alessandria,50,50,50,50
1029,Italy,95,77.0,Piedmont,Barolo,,Pio+Cesare+++Barolo,Nebbiolo,Pio Cesare,50,50,50,50
1030,US,95,55.0,California,Anderson Valley,,Black+Kite++River+Turn+Pinot+Noir+Anderson+Valley,Pinot Noir,Black Kite,50,50,50,50
1031,US,95,45.0,California,Sta. Rita Hills,Central Coast,Bonaccorsi++Fiddlestix+Vineyard+Pinot+Noir+Sta.+Rita+Hills,Pinot Noir,Bonaccorsi,50,50,50,50
1032,US,95,45.0,California,Anderson Valley,,Sean+Thackrey++Cassiopeia+Wentzel+Vineyard+Clone++Pinot+Noir+Anderson+Valley,Pinot Noir,Sean Thackrey,50,50,50,50
1033,Italy,95,69.0,Piedmont,Barolo,,Paolo+Scavino++Monvigliero++Barolo,Nebbiolo,Paolo Scavino,50,50,50,50
1034,Italy,95,115.0,Piedmont,Barolo,,Michele+Chiarlo++Cerequio++Barolo,Nebbiolo,Michele Chiarlo,50,50,50,50
1035,Austria,95,25.0,Burgenland,,,Kracher+NV+Noble+Reserve+Trockenbeerenauslese+White+Burgenland,Austrian white blend,Kracher,50,50,50,50
1036,France,95,114.0,Champagne,Champagne,,Pol+Roger++Vintage+Brut++Champagne,Champagne Blend,Pol Roger,50,50,50,50
1037,Austria,95,55.0,Eisenberg,,,Jalits++Diabas+Reserve+Blaufränkisch+Eisenberg,Blaufränkisch,Jalits,50,50,50,50
1038,US,95,65.0,California,Anderson Valley,,FEL++Ferrington+Vineyard+Pinot+Noir+Anderson+Valley,Pinot Noir,FEL,50,50,50,50
1039,Italy,95,113.0,Piedmont,Barolo,,Mascarello+Giuseppe+e+Figlio++Perno++Barolo,Nebbiolo,Mascarello Giuseppe e Figlio,50,50,50,50
1040,Austria,95,51.0,Burgenland,,,Kracher++Zwischen+den+Seen+Nr.++Trockenbeerenauslese+Scheurebe+Burgenland,Scheurebe,Kracher,50,50,50,50
1041,France,95,130.0,Champagne,Champagne,,Lanson++Noble+Cuvée+Brut++Champagne,Champagne Blend,Lanson,50,50,50,50
1042,Austria,95,60.0,Wachau,,,Emmerich+Knoll++Ried+Pfaffenberg+Auslese+Riesling+Wachau,Riesling,Emmerich Knoll,50,50,50,50
1043,Germany,95,45.0,Rheingau,,,Schloss+Schönborn++Hattenheim+Pfaffenberg+Spätlese+Riesling+Rheingau,Riesling,Schloss Schönborn,50,50,50,50
1044,Italy,95,95.0,Piedmont,Barolo,,Giovanni+Rosso++Cerretta++Barolo,Nebbiolo,Giovanni Rosso,50,50,50,50
1045,France,95,170.0,Burgundy,Chablis,,Domaine+Laroche++La+Réserve+de+l'Obédience+Les+Blanchots+Grand+Cru++Chablis,Chardonnay,Domaine Laroche,50,50,50,50
1046,Spain,95,60.0,Northern Spain,Ribera del Duero,,Astrales+++Ribera+del+Duero,Tempranillo Blend,Astrales,50,50,50,50
1047,US,95,80.0,California,Anderson Valley,,Standish++Mayflower+Pinot+Noir+Anderson+Valley,Pinot Noir,Standish,50,50,50,50
1048,US,95,65.0,Oregon,Chehalem Mountains,Willamette Valley,Bergström++Silice+Pinot+Noir+Chehalem+Mountains,Pinot Noir,Bergström,50,50,50,50
1049,Austria,95,,Österreichischer Sekt,,,Ebner-Ebenauer++Blanc+de+Blancs+Chardonnay+Österreichischer+Sekt,Chardonnay,Ebner-Ebenauer,50,50,50,50
1050,US,95,150.0,California,Oakville,Napa,B+Cellars++Blend++Cabernet+Sauvignon+Oakville,Cabernet Sauvignon,B Cellars,50,50,50,50
1051,US,95,40.0,California,Santa Maria Valley,Central Coast,Chanin++Bien+Nacido+VIneyard+Chardonnay+Santa+Maria+Valley,Chardonnay,Chanin,50,50,50,50
1052,France,95,170.0,Champagne,Champagne,,Moët+&+Chandon++Dom+Pérignon+Brut++Champagne,Champagne Blend,Moët & Chandon,50,50,50,50
1053,Germany,95,80.0,Franken,,,Rudolf+Fürst++Klingenberger+Spätburgunder+Franken,Spätburgunder,Rudolf Fürst,50,50,50,50
1054,US,95,45.0,Oregon,Ribbon Ridge,Willamette Valley,Brick+House++Essence+Chardonnay+Ribbon+Ridge,Chardonnay,Brick House,50,50,50,50
1055,US,95,52.0,California,Santa Lucia Highlands,Central Coast,Roar++Sierra+Mar+Vineyard+Pinot+Noir+Santa+Lucia+Highlands,Pinot Noir,Roar,50,50,50,50
1056,Portugal,95,,Port,,,Taylor+Fladgate++Single+Harvest++Port,Port,Taylor Fladgate,50,50,50,50
1057,France,95,199.0,Champagne,Champagne,,Taittinger++Comtes+de+Champagne+Blanc+de+Blancs+Brut+Chardonnay+Champagne,Chardonnay,Taittinger,50,50,50,50
1058,US,95,55.0,California,Russian River Valley,Sonoma,Gary+Farrell++Rochioli+Vineyard+Chardonnay+Russian+River+Valley,Chardonnay,Gary Farrell,50,50,50,50
1059,France,95,105.0,Champagne,Champagne,,Lanson+NV+Extra+Age+Brut++Champagne,Champagne Blend,Lanson,50,50,50,50
1060,US,95,60.0,California,Santa Cruz Mountains,Central Coast,Thomas+Fogarty++Langley+Hill+Vineyard+Estate+Grown+Chardonnay+Santa+Cruz+Mountains,Chardonnay,Thomas Fogarty,50,50,50,50
1061,US,95,40.0,California,Santa Cruz Mountains,Central Coast,Martin+Ray++Coast+Grade+Vineyards+Pinot+Noir+Santa+Cruz+Mountains,Pinot Noir,Martin Ray,50,50,50,50
1062,US,95,90.0,California,Anderson Valley,,Donum++Angel+Camp+Pinot+Noir+Anderson+Valley,Pinot Noir,Donum,50,50,50,50
1063,France,95,973.0,Burgundy,Musigny,,Domaine+Jacques+Prieur+++Musigny,Pinot Noir,Domaine Jacques Prieur,50,50,50,50
1064,Spain,95,165.0,Northern Spain,Rioja,,Marqués+de+Murrieta++Dalmau++Rioja,Tempranillo Blend,Marqués de Murrieta,50,50,50,50
1065,US,95,48.0,California,Sta. Rita Hills,Central Coast,Gainey++Limited+Selection+Pinot+Noir+Sta.+Rita+Hills,Pinot Noir,Gainey,50,50,50,50
1066,US,95,55.0,California,Anderson Valley,,Breggo++Savoy+Vineyard+Pinot+Noir+Anderson+Valley,Pinot Noir,Breggo,50,50,50,50
1067,US,95,60.0,California,Anderson Valley,,Walt++The+Corners+Pinot+Noir+Anderson+Valley,Pinot Noir,Walt,50,50,50,50
1068,Italy,95,70.0,Tuscany,Toscana,,San+Giusto+a+Rentennano++Percarlo+Sangiovese+Toscana,Sangiovese,San Giusto a Rentennano,50,50,50,50
1069,Italy,95,93.0,Tuscany,Toscana,,Tenuta+Sette+Ponti++Oreno+Red+Toscana,Red Blend,Tenuta Sette Ponti,50,50,50,50
1070,Portugal,95,99.0,Port,,,Fonseca++Vintage++Port,Port,Fonseca,50,50,50,50
1071,US,95,75.0,Washington,Columbia Valley (WA),Columbia Valley,Corliss+Estates++Cabernet+Sauvignon+Columbia+Valley+WA,Cabernet Sauvignon,Corliss Estates,50,50,50,50
1072,US,95,125.0,California,Napa Valley,Napa,Stag's+Leap+Wine+Cellars++S.L.V.+Estate+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Stag's Leap Wine Cellars,50,50,50,50
1073,Spain,95,170.0,Northern Spain,Rioja,,Sierra+Cantabria++Finca+El+Bosque++Rioja,Tempranillo,Sierra Cantabria,50,50,50,50
1074,US,95,65.0,Oregon,Dundee Hills,Willamette Valley,Domaine+Drouhin+Oregon++Laurène+Pinot+Noir+Dundee+Hills,Pinot Noir,Domaine Drouhin Oregon,50,50,50,50
1075,US,95,80.0,California,Diamond Mountain District,Napa,Von+Strasser++Spaulding+Vineyard+Cabernet+Sauvignon+Diamond+Mountain+District,Cabernet Sauvignon,Von Strasser,50,50,50,50
1076,US,95,35.0,California,Sonoma County,Sonoma,Arrowood++Reserve+Speciale+Chardonnay+Sonoma+County,Chardonnay,Arrowood,50,50,50,50
1077,US,95,95.0,Washington,Red Mountain,Columbia Valley,Quilceda+Creek++Galitzine+Vineyard+Cabernet+Sauvignon+Red+Mountain,Cabernet Sauvignon,Quilceda Creek,50,50,50,50
1078,US,95,55.0,California,Paso Robles,Central Coast,Saxum++James+Berry+Vineyard+Red+Paso+Robles,Rhône-style Red Blend,Saxum,50,50,50,50
1079,Austria,95,34.0,Wachau,,,Josef+Jamek++Jochinger+Berg+Federspiel+Riesling+Wachau,Riesling,Josef Jamek,50,50,50,50
1080,US,95,70.0,California,Diamond Mountain District,Napa,Von+Strasser++Sori+Bricco+Vineyard+Cabernet+Sauvignon+Diamond+Mountain+District,Cabernet Sauvignon,Von Strasser,50,50,50,50
1081,US,95,150.0,California,Napa Valley,Napa,La+Sirena++Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,La Sirena,50,50,50,50
1082,US,95,50.0,California,Sonoma Coast,Sonoma,Furthermore++Gap's+Crown+Vineyard+Pinot+Noir+Sonoma+Coast,Pinot Noir,Furthermore,50,50,50,50
1083,US,95,80.0,California,Diamond Mountain District,Napa,Von+Strasser++Sori+Bricco+Vineyard+Cabernet+Sauvignon+Diamond+Mountain+District,Cabernet Sauvignon,Von Strasser,50,50,50,50
1084,US,95,40.0,California,Mendocino Ridge,,Donkey+&+Goat++Perli+Vineyards+Syrah+Mendocino+Ridge,Syrah,Donkey & Goat,50,50,50,50
1085,Portugal,95,588.0,Port,,,Taylor+Fladgate++Very+Old+Single+Harvest++Port,Port,Taylor Fladgate,50,50,50,50
1086,Italy,95,80.0,Tuscany,Toscana,,Isole+e+Olena++Cepparello+Sangiovese+Toscana,Sangiovese,Isole e Olena,50,50,50,50
1087,Austria,95,89.0,Wachau,,,Franz+Hirtzberger++Honivogl+Smaragd+Grüner+Veltliner+Wachau,Grüner Veltliner,Franz Hirtzberger,50,50,50,50
1088,US,95,75.0,California,Adelaida District,Central Coast,Daou++Cuvée+Lizzy+Red+Adelaida+District,Bordeaux-style Red Blend,Daou,50,50,50,50
1089,US,95,42.0,California,Santa Maria Valley,Central Coast,Cordant++Presqu'ile+Vineyard+Syrah+Santa+Maria+Valley,Syrah,Cordant,50,50,50,50
1090,US,95,50.0,California,Napa Valley,Napa,Carlisle++Palisades+Vineyard+Petite+Sirah+Napa+Valley,Petite Sirah,Carlisle,50,50,50,50
1091,Austria,95,75.0,Kamptal,,,Bründlmayer++Heiligenstein+Alte+Reben+Reserve+Riesling+Kamptal,Riesling,Bründlmayer,50,50,50,50
1092,Italy,95,120.0,Tuscany,Brunello di Montalcino,,Lazzeretti++Riserva++Brunello+di+Montalcino,Sangiovese,Lazzeretti,50,50,50,50
1093,Italy,95,66.0,Tuscany,Bolgheri Superiore,,Podere+Sapaio++Sapaio++Bolgheri+Superiore,Red Blend,Podere Sapaio,50,50,50,50
1094,Italy,95,140.0,Tuscany,Toscana,,Castello+del+Terriccio++Castello+del+Terriccio+Red+Toscana,Red Blend,Castello del Terriccio,50,50,50,50
1095,Italy,95,79.0,Tuscany,Toscana,,Marchesi+Antinori++Tignanello+Red+Toscana,Red Blend,Marchesi Antinori,50,50,50,50
1096,US,95,58.0,California,Arroyo Grande Valley,Central Coast,Talley++Rincon+Vineyard+Pinot+Noir+Arroyo+Grande+Valley,Pinot Noir,Talley,50,50,50,50
1097,US,95,49.0,California,Russian River Valley,Sonoma,Marimar+Estate++Cristina+Don+Miguel+Vineyard+Pinot+Noir+Russian+River+Valley,Pinot Noir,Marimar Estate,50,50,50,50
1098,US,95,60.0,California,Sta. Rita Hills,Central Coast,Sanford++La+Rinconada+Pinot+Noir+Sta.+Rita+Hills,Pinot Noir,Sanford,50,50,50,50
1099,Argentina,95,50.0,Mendoza Province,La Consulta,,Trapiche++Finca+Jorge+Miralles+Single+Vineyard+Malbec+La+Consulta,Malbec,Trapiche,50,50,50,50
1100,US,95,70.0,California,Arroyo Grande Valley,Central Coast,Talley++Rosemary's+Vineyard+Pinot+Noir+Arroyo+Grande+Valley,Pinot Noir,Talley,50,50,50,50
1101,France,95,66.0,Provence,Bandol,,Domaine+de+la+Bégude++La+Brûlade+Red+Bandol,Provence red blend,Domaine de la Bégude,50,50,50,50
1102,US,95,36.0,California,Russian River Valley,Sonoma,Limerick+Lane++Syrah-Grenache+Russian+River+Valley,Syrah-Grenache,Limerick Lane,50,50,50,50
1103,US,95,63.0,California,Russian River Valley,Sonoma,Merry+Edwards++Klopp+Ranch+Pinot+Noir+Russian+River+Valley,Pinot Noir,Merry Edwards,50,50,50,50
1104,New Zealand,95,100.0,Hawke's Bay,,,Trinity+Hill++Homage+Syrah+Hawke's+Bay,Syrah,Trinity Hill,50,50,50,50
1105,US,95,95.0,California,Calistoga,Napa,Venge++Bone+Ash+Vineyard+Cabernet+Sauvignon+Calistoga,Cabernet Sauvignon,Venge,50,50,50,50
1106,Spain,95,90.0,Catalonia,Priorat,,Marco+Abella++Clos+Abella+Red+Priorat,Red Blend,Marco Abella,50,50,50,50
1107,US,95,85.0,California,Napa Valley,Napa,D.R.+Stephens++Estate+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,D.R. Stephens,50,50,50,50
1108,US,95,50.0,California,Stags Leap District,Napa,Pine+Ridge++Cabernet+Sauvignon+Stags+Leap+District,Cabernet Sauvignon,Pine Ridge,50,50,50,50
1109,Italy,95,50.0,Tuscany,Cortona,,Avignonesi++Desiderio+Red+Cortona,Red Blend,Avignonesi,50,50,50,50
1110,US,95,125.0,California,Mount Veeder,Napa,Cardinale++Cabernet+Sauvignon+Mount+Veeder,Cabernet Sauvignon,Cardinale,50,50,50,50
1111,US,95,55.0,California,Napa Valley,Napa,Prime++Midoriya+Hills+Vineyard+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Prime,50,50,50,50
1112,US,95,105.0,California,Stags Leap District,Napa,Baldacci++Brenda's+Vineyard+Cabernet+Sauvignon+Stags+Leap+District,Cabernet Sauvignon,Baldacci,50,50,50,50
1113,US,95,49.0,Washington,Washington,Washington Other,Woodward+Canyon++Artist+Series+#+Cabernet+Sauvignon+Washington,Cabernet Sauvignon,Woodward Canyon,50,50,50,50
1114,US,95,30.0,Washington,Columbia Gorge (WA),Washington Other,Tranche++Chardonnay+Columbia+Gorge+WA,Chardonnay,Tranche,50,50,50,50
1115,France,95,115.0,Burgundy,Chablis,,Domaine+Christian+Moreau+Père+et+Fils++Clos+des+Hospices+Les+Clos+Grand+Cru++Chablis,Chardonnay,Domaine Christian Moreau Père et Fils,50,50,50,50
1116,US,95,52.0,California,Russian River Valley,Sonoma,Williams+Selyem++Pinot+Noir+Russian+River+Valley,Pinot Noir,Williams Selyem,50,50,50,50
1117,France,95,312.0,Burgundy,Clos de la Roche,,Roche+de+Bellene+++Clos+de+la+Roche,Pinot Noir,Roche de Bellene,50,50,50,50
1118,US,95,55.0,Washington,Columbia Valley (WA),Columbia Valley,Gramercy++Lagniappe+Syrah+Columbia+Valley+WA,Syrah,Gramercy,50,50,50,50
1119,US,95,85.0,Washington,Walla Walla Valley (WA),Columbia Valley,Gramercy++John+Lewis+Syrah+Walla+Walla+Valley+WA,Syrah,Gramercy,50,50,50,50
1120,US,95,125.0,California,Alexander Valley,Sonoma,Devil+Proof++Farrow+Ranch+Malbec+Alexander+Valley,Malbec,Devil Proof,50,50,50,50
1121,Austria,95,80.0,Kamptal,,,Loimer++Steinmassl+Riesling+Kamptal,Riesling,Loimer,50,50,50,50
1122,US,95,50.0,California,Sonoma Valley,Sonoma,Three+Sticks++Durell+Vineyard+Chardonnay+Sonoma+Valley,Chardonnay,Three Sticks,50,50,50,50
1123,New Zealand,95,79.0,Hawke's Bay,,,Squawking+Magpie++SQM+Gimblett+Gravels+Cabernets/Merlot+Red+Hawke's+Bay,Bordeaux-style Red Blend,Squawking Magpie,50,50,50,50
1124,France,95,140.0,Champagne,Champagne,,Laurent-Perrier+NV+Grand+Siècle+La+Cuvée+Brut++Champagne,Champagne Blend,Laurent-Perrier,50,50,50,50
1125,France,95,90.0,Bordeaux,Pessac-Léognan,,Château+Smith+Haut+Lafitte+++Pessac-Léognan,Bordeaux-style White Blend,Château Smith Haut Lafitte,50,50,50,50
1126,Italy,95,130.0,Piedmont,Barolo,,Poderi+Aldo+Conterno++Bussia+Cicala++Barolo,Nebbiolo,Poderi Aldo Conterno,50,50,50,50
1127,US,95,78.0,California,Howell Mountain,Napa,Piña++Buckeye+Vineyard+Cabernet+Sauvignon+Howell+Mountain,Cabernet Sauvignon,Piña,50,50,50,50
1128,France,95,50.0,Bordeaux,Barsac,,Château+Doisy-Daëne+++Barsac,Bordeaux-style White Blend,Château Doisy-Daëne,50,50,50,50
1129,Spain,95,50.0,Northern Spain,Toro,,Maurodos++San+Román++Toro,Tinta de Toro,Maurodos,50,50,50,50
1130,France,95,65.0,Bordeaux,Sauternes,,Château+Guiraud+++Sauternes,Bordeaux-style White Blend,Château Guiraud,50,50,50,50
1131,US,95,60.0,California,Green Valley,Sonoma,Hartford+Court++Hailey's+Block+Pinot+Noir+Green+Valley,Pinot Noir,Hartford Court,50,50,50,50
1132,Austria,95,74.0,Wachau,,,Franz+Hirtzberger++Hochrain+Smaragd+Riesling+Wachau,Riesling,Franz Hirtzberger,50,50,50,50
1133,Austria,95,126.0,Wachau,,,Franz+Hirtzberger++Singerriedel+Smaragd+Riesling+Wachau,Riesling,Franz Hirtzberger,50,50,50,50
1134,US,95,120.0,California,Spring Mountain District,Napa,Barnett++Rattlesnake+Hill+Cabernet+Sauvignon+Spring+Mountain+District,Cabernet Sauvignon,Barnett,50,50,50,50
1135,France,95,276.0,Bordeaux,Saint-Émilion,,Le+Dôme+++Saint-Émilion,Bordeaux-style Red Blend,Le Dôme,50,50,50,50
1136,France,95,204.0,Champagne,Champagne,,Taittinger++Comtes+de+Champagne+Brut+Rosé++Champagne,Champagne Blend,Taittinger,50,50,50,50
1137,Italy,95,75.0,Piedmont,Barolo,,Elvio+Cogno++Ravera++Barolo,Nebbiolo,Elvio Cogno,50,50,50,50
1138,US,95,,California,Napa Valley,Napa,Colgin++Tychson+Hill+Vineyard+Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Colgin,50,50,50,50
1139,Austria,95,,Kremstal,,,Proidl++Senftenberger+Ehrenfels+Reserve+Grüner+Veltliner+Kremstal,Grüner Veltliner,Proidl,50,50,50,50
1140,Austria,95,36.0,Kremstal,,,Malat++Alte+Reben+Höhlgraben+Reserve+Grüner+Veltliner+Kremstal,Grüner Veltliner,Malat,50,50,50,50
1141,Austria,95,85.0,Wachau,,,F+X+Pichler++Dürnsteiner+Kellerberg+Smaragd+Riesling+Wachau,Riesling,F X Pichler,50,50,50,50
1142,Austria,95,64.0,Wachau,,,Emmerich+Knoll++Ried+Pfaffenberg+Selection+Riesling+Wachau,Riesling,Emmerich Knoll,50,50,50,50
1143,France,95,,Bordeaux,Pauillac,,Château+Pichon+Longueville+Comtesse+de+Lalande+++Pauillac,Bordeaux-style Red Blend,Château Pichon Longueville Comtesse de Lalande,50,50,50,50
1144,Italy,95,75.0,Piedmont,Barolo,,Giacomo+Grimaldi++Le+Coste++Barolo,Nebbiolo,Giacomo Grimaldi,50,50,50,50
1145,US,95,90.0,California,Napa Valley,Napa,Blackbird+Vineyards++Paramour+Red+Napa+Valley,Bordeaux-style Red Blend,Blackbird Vineyards,50,50,50,50
1146,Spain,95,167.0,Northern Spain,Rioja,,Sierra+Cantabria++Amancio++Rioja,Tempranillo,Sierra Cantabria,50,50,50,50
1147,France,95,,Bordeaux,Saint-Julien,,Château+Léoville+Poyferré++Barrel+sample++Saint-Julien,Bordeaux-style Red Blend,Château Léoville Poyferré,50,50,50,50
1148,France,95,,Bordeaux,Margaux,,Château+Margaux++Barrel+sample++Margaux,Bordeaux-style Red Blend,Château Margaux,50,50,50,50
1149,France,95,56.0,Bordeaux,Pessac-Léognan,,Château+Malartic-Lagravière+++Pessac-Léognan,Bordeaux-style White Blend,Château Malartic-Lagravière,50,50,50,50
1150,Italy,95,65.0,Piedmont,Barolo,,Sordo++Monvigliero++Barolo,Nebbiolo,Sordo,50,50,50,50
1151,Austria,95,54.0,Kamptal,,,Schloss+Gobelsburg++Heiligenstein+Riesling+Kamptal,Riesling,Schloss Gobelsburg,50,50,50,50
1152,US,95,200.0,California,Oakville,Napa,Ramey++Pedregal+Vineyard+Cabernet+Sauvignon+Oakville,Cabernet Sauvignon,Ramey,50,50,50,50
1153,Austria,95,31.0,Kamptal,,,Schloss+Gobelsburg++Gaisberg+Riesling+Kamptal,Riesling,Schloss Gobelsburg,50,50,50,50
1154,US,95,40.0,California,Shenandoah Valley (CA),Sierra Foothills,Terre+Rouge++Sentinel+Oak+Vineyard+Pyramid+Block+Syrah+Shenandoah+Valley+CA,Syrah,Terre Rouge,50,50,50,50
1155,Italy,95,110.0,Tuscany,Toscana,,Le+Macchiole++Paleo+Rosso+Cabernet+Franc+Toscana,Cabernet Franc,Le Macchiole,50,50,50,50
1156,Austria,95,48.0,Kremstal,,,Malat++Silberbichl+Reserve+Riesling+Kremstal,Riesling,Malat,50,50,50,50
1157,US,95,48.0,California,California,California Other,Herman+Story++Casual+Encounters+Red+California,Rhône-style Red Blend,Herman Story,50,50,50,50
1158,Austria,95,48.0,Wachau,,,Franz+Hirtzberger++Kirchweg+Smaragd+Grüner+Veltliner+Wachau,Grüner Veltliner,Franz Hirtzberger,50,50,50,50
1159,Austria,95,65.0,Wachau,,,Alzinger++Loibenberg+Smaragd+Riesling+Wachau,Riesling,Alzinger,50,50,50,50
1160,Italy,95,55.0,Tuscany,Chianti Classico,,San+Felice++Il+Grigio+Gran+Selezione++Chianti+Classico,Red Blend,San Felice,50,50,50,50
1161,Austria,95,42.0,Kremstal,,,Malat++Steinbühel+Riesling+Kremstal,Riesling,Malat,50,50,50,50
1162,US,95,80.0,California,Russian River Valley,Sonoma,Lynmar++Summit+Block+Pinot+Noir+Russian+River+Valley,Pinot Noir,Lynmar,50,50,50,50
1163,US,95,125.0,California,Edna Valley,Central Coast,Wedell+Cellars++Hillside+Vineyard+Pinot+Noir+Edna+Valley,Pinot Noir,Wedell Cellars,50,50,50,50
1164,France,95,55.0,Loire Valley,Sancerre,,Henri+Bourgeois++Jadis++Sancerre,Sauvignon Blanc,Henri Bourgeois,50,50,50,50
1165,Italy,95,80.0,Piedmont,Barolo,,Poderi+Aldo+Conterno++Bussia++Barolo,Nebbiolo,Poderi Aldo Conterno,50,50,50,50
1166,US,95,42.0,California,Anderson Valley,,Lazy+Creek++Pinot+Noir+Anderson+Valley,Pinot Noir,Lazy Creek,50,50,50,50
1167,Italy,95,55.0,Piedmont,Barolo,,Sordo++Gabutti++Barolo,Nebbiolo,Sordo,50,50,50,50
1168,Italy,95,123.0,Piedmont,Barolo,,Oddero++Brunate++Barolo,Nebbiolo,Oddero,50,50,50,50
1169,US,95,75.0,California,Sonoma Mountain,Sonoma,Paul+Hobbs++Richard+Dinner+Vineyard+Chardonnay+Sonoma+Mountain,Chardonnay,Paul Hobbs,50,50,50,50
1170,US,95,95.0,California,Napa Valley,Napa,Kendall-Jackson++Stature+Red+Napa+Valley,Bordeaux-style Red Blend,Kendall-Jackson,50,50,50,50
1171,France,95,200.0,Bordeaux,Pomerol,,Château+Hosanna+++Pomerol,Bordeaux-style Red Blend,Château Hosanna,50,50,50,50
1172,France,95,80.0,Bordeaux,Saint-Julien,,Château+Branaire-Ducru+++Saint-Julien,Bordeaux-style Red Blend,Château Branaire-Ducru,50,50,50,50
1173,France,95,,Bordeaux,Saint-Émilion,,Château+Belair+++Saint-Émilion,Bordeaux-style Red Blend,Château Belair,50,50,50,50
1174,Australia,95,300.0,Victoria,Rutherglen,,Chambers+Rosewood+Vineyards+NV+Rare+Muscat+Rutherglen,Muscat,Chambers Rosewood Vineyards,50,50,50,50
1175,US,95,50.0,California,Sta. Rita Hills,Central Coast,Sea+Smoke++Southing+Pinot+Noir+Sta.+Rita+Hills,Pinot Noir,Sea Smoke,50,50,50,50
1176,US,95,125.0,California,Rutherford,Napa,Quintessa++Red+Rutherford,Bordeaux-style Red Blend,Quintessa,50,50,50,50
1177,US,95,85.0,California,Napa Valley,Napa,Duckhorn++Three+Palms+Vineyard+Merlot+Napa+Valley,Merlot,Duckhorn,50,50,50,50
